26:05:2025-18:39:39 - INFO - LOG: Karnataka,ATHANI ARTO - KA71( 03-AUG-2020 ), No Records Found for year 2025
26:05:2025-18:39:43 - INFO - LOG: Uttar Pradesh,Agra RTO - UP80( 23-NOV-2017 ),2025,JAN Was successfully downloaded
26:05:2025-18:39:46 - INFO - LOG: Karnataka,ATHANI ARTO - KA71( 03-AUG-2020 ), No Records Found for year 2025
26:05:2025-18:39:54 - INFO - LOG: Karnataka,ATHANI ARTO - KA71( 03-AUG-2020 ), No Records Found for year 2025
26:05:2025-18:39:56 - INFO - LOG: Uttar Pradesh,Agra RTO - UP80( 23-NOV-2017 ),2025,FEB Was successfully downloaded
26:05:2025-18:40:04 - INFO - LOG: Karnataka,ATHANI ARTO - KA71( 03-AUG-2020 ),2025,APR Was successfully downloaded
26:05:2025-18:40:10 - INFO - LOG: Uttar Pradesh,Agra RTO - UP80( 23-NOV-2017 ),2025,MAR Was successfully downloaded
26:05:2025-18:40:18 - INFO - LOG: Karnataka,ATHANI ARTO - KA71( 03-AUG-2020 ),2025,MAY Was successfully downloaded
26:05:2025-18:40:23 - INFO - LOG: Uttar Pradesh,Agra RTO - UP80( 23-NOV-2017 ),2025,APR Was successfully downloaded
26:05:2025-18:40:37 - INFO - LOG: Uttar Pradesh,Agra RTO - UP80( 23-NOV-2017 ),2025,MAY Was successfully downloaded
26:05:2025-18:40:45 - INFO - LOG: Karnataka,BAGALKOT  RTO - KA29( 29-SEP-2018 ), No Records Found for year 2025
26:05:2025-18:40:55 - INFO - LOG: Karnataka,BAGALKOT  RTO - KA29( 29-SEP-2018 ),2025,FEB Was successfully downloaded
26:05:2025-18:41:07 - INFO - LOG: Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45( 27-DEC-2017 ),2025,JAN Was successfully downloaded
26:05:2025-18:41:09 - INFO - LOG: Karnataka,BAGALKOT  RTO - KA29( 29-SEP-2018 ),2025,MAR Was successfully downloaded
26:05:2025-18:41:19 - INFO - LOG: Karnataka,BAGALKOT  RTO - KA29( 29-SEP-2018 ), No Records Found for year 2025
26:05:2025-18:41:21 - INFO - LOG: Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45( 27-DEC-2017 ),2025,FEB Was successfully downloaded
26:05:2025-18:41:26 - INFO - LOG: Karnataka,BAGALKOT  RTO - KA29( 29-SEP-2018 ), No Records Found for year 2025
26:05:2025-18:41:34 - INFO - LOG: Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45( 27-DEC-2017 ),2025,MAR Was successfully downloaded
26:05:2025-18:41:42 - INFO - LOG: Karnataka,BAILHONGAL  RTO - KA24( 13-AUG-2018 ), No Records Found for year 2025
26:05:2025-18:41:48 - INFO - LOG: Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45( 27-DEC-2017 ),2025,APR Was successfully downloaded
26:05:2025-18:42:02 - INFO - LOG: Uttar Pradesh,AKBARPUR(AMBEDKAR NAGAR) - UP45( 27-DEC-2017 ),2025,MAY Was successfully downloaded
26:05:2025-18:42:09 - INFO - LOG: Karnataka,BANTWALA ARTO - KA70( 03-MAR-2018 ),2025,JAN Was successfully downloaded
